id,name,attack,magicAttack,hp,attackSpeed,attackrange,attackType,defense,isBoss
1000,sprialmystic,8,8,80,0.9,2,Melee,2,FALSE
1001,firevamp,7,7,65,1.1,2,Melee,1,FALSE
2000,diamondgolem,11,11,120,1,2,Melee,3,FALSE
2001,demonlocust,12,12,105,1.15,2,Melee,2,FALSE
3000,wingedguard,16,16,170,1,2,Melee,4,FALSE
3001,shieldguard,14,14,210,0.9,2,Melee,6,FALSE
4000,swordguard,20,20,260,0.85,2,Melee,6,FALSE
4001,butterdog,18,18,320,0.8,2,Melee,8,FALSE
5000,spinetiger,26,26,380,0.9,2,Melee,7,FALSE
5001,lynx,22,22,520,0.75,2,Melee,10,FALSE
1111,firestarter,2,20,1200,0.7,2,Melee,6,TRUE
2222,driller,4,4,2200,0.8,2,Melee,8,TRUE
3333,neon_veil,14,14,3600,0.85,2,Melee,10,TRUE
4444,snakebot,56,56,5200,0.8,2,Melee,12,TRUE
5555,bonereaper,72,72,7200,0.75,2,Melee,14,TRUE
